model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,3,13.9329354763031,0.05547499656677246,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.2385711669921875,0.9417804515658619,0.9041052631578947,0.06790425133999017
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,3,62.4831600189209,0.2455141544342041,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.0,4.283881187438965,0.9274139765912834,0.890421052631579,0.08042957428651003
TabPFN Classifier (v2.5 default),500,500,9500,3,0.18104028701782227,3.3757412433624268,1,1,0,0,,,0.03346698068418992,,0.8868421052631579,0.07845256476384814
TabPFN Classifier (v2 compatibility),500,500,9500,3,0.12498903274536133,3.211559772491455,1,1,0,0,,,0.031200577324269778,,0.8916842105263157,0.07527087596588032
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,4,6.591402769088745,0.0060160160064697266,16,16,0,1,ABNORMAL: ,112.0,4.473543643951416,0.19902653477289517,0.7806315789473685,0.16879793835638127
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,4,4.131811857223511,0.007762432098388672,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.0,4.610632419586182,0.36923612810814654,0.6877894736842105,0.2599640871132019
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,4,9.468569040298462,0.02709794044494629,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.0,4.473546028137207,0.3129311033583074,0.7806315789473685,0.16898374347844705
TabPFN Classifier (v2.5 default),50,500,9500,4,0.1604158878326416,2.8497793674468994,1,1,0,0,,,0.13024663860980298,,0.8182105263157895,0.13047373098240792
TabPFN Classifier (v2 compatibility),50,500,9500,4,0.11096811294555664,2.5310401916503906,1,1,0,0,,,0.18222532815510106,,0.8243157894736842,0.12387198949196553
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,4,6.332267761230469,0.010047435760498047,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132.0,4.484313011169434,0.6408729919507035,0.7634736842105263,0.1938928400123253
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,4,4.595200538635254,0.013789892196655273,16,16,0,2,ABNORMAL: ,57.0,4.509742736816406,0.7022331662179503,0.8274736842105264,0.13286034846947892
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,4,11.262671709060669,0.04679083824157715,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107.0,4.483798027038574,0.7303582713379817,0.765578947368421,0.1918213359464932
TabPFN Classifier (v2.5 default),100,500,9500,4,0.1423172950744629,2.9105641841888428,1,1,0,0,,,0.12266912142509823,,0.8221052631578948,0.12484026797780572
TabPFN Classifier (v2 compatibility),100,500,9500,4,0.12647199630737305,2.6236026287078857,1,1,0,0,,,0.14534626196559094,,0.8301052631578948,0.11833949661493323
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,4,5.9555275440216064,0.026352643966674805,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.480735778808594,0.8889925244084622,0.8565263157894737,0.10746592867027248
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,4,6.25931191444397,0.03796029090881348,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.0,4.408336639404297,0.9326095765334272,0.9005263157894737,0.06942320109088485
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,4,30.097787380218506,0.1440117359161377,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100.0,4.450129508972168,0.8927080690638056,0.8828421052631579,0.08619295275990706
TabPFN Classifier (v2.5 default),300,500,9500,4,0.6689143180847168,3.320746898651123,1,1,0,0,,,0.08468616055102492,,0.8881052631578947,0.07983269868281442
TabPFN Classifier (v2 compatibility),300,500,9500,4,0.1267709732055664,2.948709487915039,1,1,0,0,,,0.06636619883156315,,0.8905263157894737,0.07837313846832893
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,4,10.444140434265137,0.04813122749328613,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.323424339294434,0.9390727390648599,0.8751578947368421,0.094998458932689
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,4,11.534323930740356,0.06763267517089844,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.235645771026611,0.948939467239533,0.9106315789473685,0.06510266990014096
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,4,69.18972635269165,0.2378385066986084,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.29356575012207,0.9371732394914247,0.8902105263157895,0.08136290369781338
TabPFN Classifier (v2.5 default),500,500,9500,4,0.20575952529907227,3.3830621242523193,1,1,0,0,,,0.05656672205273127,,0.8962105263157895,0.07270436460722714
