model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,4,0.19302940368652344,0.014000177383422852,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.729958534240723,0.6705263157894736,0.27697001978662084
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,4,0.5539255142211914,0.008998870849609375,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,193.0,4.526269912719727,0.7988421052631579,0.14866910036472777
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,4,0.43987178802490234,0.04551839828491211,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81.0,4.48204231262207,0.7690526315789473,0.17940870196705255
TabPFN Classifier (v2.5 default),50,500,9500,4,0.15611958503723145,3.0316314697265625,,,0.136166892174761,0.8191578947368421,0.1299041262717919
TabPFN Classifier (v2 compatibility),50,500,9500,4,0.12880158424377441,2.6023030281066895,,,0.19331173760635786,0.8108421052631579,0.13415233006205526
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,4,0.34911346435546875,0.016392946243286133,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93.0,4.484377861022949,0.763578947368421,0.1934934768987316
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,4,0.22142481803894043,0.023001909255981445,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.0,4.510331153869629,0.8273684210526315,0.13348324974481499
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,4,0.6714682579040527,0.013013362884521484,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,207.0,4.45272159576416,0.8230526315789474,0.13445224497596064
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,4,0.6886153221130371,0.0851294994354248,ABNORMAL: ,96.0,4.483799934387207,0.7658947368421053,0.19163100676569483
TabPFN Classifier (v2.5 default),100,500,9500,4,0.14853501319885254,2.988248586654663,,,0.12575552075563926,0.8222105263157895,0.1250136949771438
TabPFN Classifier (v2 compatibility),100,500,9500,4,0.11751675605773926,2.6993062496185303,,,0.14581454916456868,0.8197894736842105,0.12486194997050712
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,4,0.3422236442565918,0.05196070671081543,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.0,4.480735778808594,0.8567368421052631,0.10743878267117209
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,4,0.4187955856323242,0.06674933433532715,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.0,4.410935878753662,0.9012631578947369,0.06922461875533645
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,4,1.2004175186157227,0.04299163818359375,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,217.0,4.3456268310546875,0.9028421052631579,0.07043775718472566
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,4,2.1169075965881348,0.2251420021057129,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80.0,4.450130462646484,0.8828421052631579,0.0862054956555821
TabPFN Classifier (v2.5 default),300,500,9500,4,0.23421955108642578,3.176217794418335,,,0.07820963343321012,0.8888421052631579,0.07938611088953514
TabPFN Classifier (v2 compatibility),300,500,9500,4,0.12147712707519531,2.958904981613159,,,0.06498868455727226,0.8867368421052632,0.08148805794788487
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,4,0.5812904834747314,0.0965280532836914,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.0,4.323431968688965,0.8751578947368421,0.09497801937816835
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,4,0.48818039894104004,0.12656927108764648,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28.0,4.235909461975098,0.9106315789473685,0.06512793589189625
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,4,0.7575247287750244,0.0785365104675293,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.0,4.1930389404296875,0.9048421052631579,0.06874515004221295
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,4,4.5040388107299805,0.5839211940765381,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,69.0,4.293567657470703,0.8902105263157895,0.08134637301343045
TabPFN Classifier (v2.5 default),500,500,9500,4,0.16163253784179688,3.502127170562744,,,0.05246450868730085,0.8974736842105263,0.07250907631757698
TabPFN Classifier (v2 compatibility),500,500,9500,4,0.1255033016204834,3.2908098697662354,,,0.05209780646634292,0.9,0.07104776465232952
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,5,0.36152005195617676,0.010001659393310547,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106.0,4.636774063110352,0.7103157894736842,0.2452644813297724
