model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,57.176313400268555,0.24283909797668457,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.385231971740723,0.8954736842105263,0.07870024028350862
TabPFN Classifier (v2.5 default),500,500,9500,1,0.22208857536315918,3.551938533782959,1,1,0,0,,,0.074609848224463,0.8956842105263157,0.07551835126017899
TabPFN Classifier (v2 compatibility),500,500,9500,1,0.14022397994995117,3.307425022125244,1,1,0,0,,,0.058639532003048445,0.9021052631578947,0.0691211971136159
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,5.453855991363525,0.0060024261474609375,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0,4.656325340270996,0.7429473684210526,0.20606168628033442
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,2.1458072662353516,0.007787466049194336,16,16,0,9,ABNORMAL: ,61.0,4.72180700302124,0.7876842105263158,0.16021228498723838
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,7.665846586227417,0.025784015655517578,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,4.6562652587890625,0.7429473684210526,0.20601566954578648
TabPFN Classifier (v2.5 default),50,500,9500,2,0.13948273658752441,3.029694080352783,1,1,0,0,,,0.25265588852906545,0.7629473684210526,0.16121151055061442
TabPFN Classifier (v2 compatibility),50,500,9500,2,0.11365509033203125,2.5960516929626465,1,1,0,0,,,0.30099377615031253,0.7901052631578948,0.14710795875017338
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,6.876705884933472,0.009014606475830078,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120.0,4.633693695068359,0.7095789473684211,0.24050375902891927
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,4.092029333114624,0.013234138488769531,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.625927925109863,0.8388421052631579,0.11890568406705003
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,7.770087718963623,0.048636436462402344,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128.0,4.509193420410156,0.7023157894736842,0.24573809877688582
TabPFN Classifier (v2.5 default),100,500,9500,2,0.15340590476989746,3.1124110221862793,1,1,0,0,,,0.1509495485175729,0.8088421052631579,0.1303056847542811
TabPFN Classifier (v2 compatibility),100,500,9500,2,0.12388205528259277,2.6462695598602295,1,1,0,0,,,0.24869893302387475,0.8054736842105263,0.13211003621506306
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,2,5.7873148918151855,0.029120206832885742,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.481480598449707,0.8606315789473684,0.10561236828507155
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,5.62037992477417,0.0370023250579834,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.376407623291016,0.8946315789473684,0.07447508309652966
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,25.717936992645264,0.12395763397216797,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.461050987243652,0.8827368421052632,0.08714842319045386
TabPFN Classifier (v2.5 default),300,500,9500,2,0.16850590705871582,3.1551530361175537,1,1,0,0,,,0.10847948104483791,0.8752631578947369,0.08718408379865492
TabPFN Classifier (v2 compatibility),300,500,9500,2,0.12157249450683594,3.0394155979156494,1,1,0,0,,,0.10994724584333805,0.8763157894736842,0.08596127725391431
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,2,13.122327327728271,0.053287506103515625,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.51811408996582,0.8763157894736842,0.09299239289834922
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,12.315445184707642,0.06753182411193848,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.0,4.329024791717529,0.9132631578947369,0.06326897598731285
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,74.38596820831299,0.2513997554779053,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88.0,4.400871276855469,0.9028421052631579,0.07152372279341286
TabPFN Classifier (v2.5 default),500,500,9500,2,0.2236940860748291,3.5130245685577393,1,1,0,0,,,0.07137155839650412,0.9004210526315789,0.07158946655263877
TabPFN Classifier (v2 compatibility),500,500,9500,2,0.12563681602478027,3.2975542545318604,1,1,0,0,,,0.07397229612079462,0.9050526315789473,0.06864695266024824
