model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,kf_frac_10,kf_frac_50,kf_frac_90,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,1.6121766567230225,0.008810997009277344,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94,4.633695602416992,0.6423156083158439,0.876571261915841,0.4492022277183289,0.13988167634161472,0.7102105263157895,0.24038628304072374
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,0.9758341312408447,0.01188802719116211,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,4.625927925109863,0.6247549092047064,0.8669335654724345,0.42538222249713675,0.10137745271492396,0.8388421052631579,0.11890568406705003
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,2.1739206314086914,0.044698238372802734,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,91,4.509851455688477,0.6201596612524273,0.8699486020538663,0.44934749313310696,0.07225852840077227,0.7008421052631579,0.2480702050377419
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,2,1.5107569694519043,0.02434563636779785,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,4.481482028961182,0.838575626779624,0.848017268243564,0.40465387682336534,0.03190728603887631,0.8606315789473684,0.10564164341137962
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,1.2189247608184814,0.03316235542297363,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34,4.376407623291016,0.8260423680368632,0.8369391116545675,0.440881104082976,0.15962423960170835,0.8946315789473684,0.07447508309652966
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,7.034442186355591,0.11601781845092773,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67,4.461054801940918,0.8378109552111648,0.8475267249730204,0.41765960233208466,0.06821177480417842,0.882421052631579,0.08714549349032732
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,2,3.3046422004699707,0.05056619644165039,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60,4.518115043640137,0.9103734024073711,0.870058709393301,0.4413384860471471,0.07426319279143484,0.876421052631579,0.09298643367998842
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,3.0832865238189697,0.06599092483520508,4,4,0,2,ABNORMAL: ,30,4.329050540924072,0.8963351773304994,0.8438761211817057,0.38178635943948275,-0.021000175984411472,0.9133684210526316,0.06321519851471018
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,19.78262734413147,0.24054694175720215,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88,4.400871276855469,0.9038357996287352,0.8618333544510557,0.4324051221511488,0.04679550699996456,0.9028421052631579,0.07152372279341286
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,3,2.19905948638916,0.06764507293701172,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189,4.424440383911133,0.24978820743649316,0.8304186393606205,0.3747350082017522,-0.010461117795196324,0.7078947368421052,0.24314530900788045
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,0.5070016384124756,0.01567530632019043,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,5.0249176025390625,0.3346361848392695,0.8933212981447445,0.48645833304316544,0.10173764786286454,0.6872631578947368,0.2390847569046756
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,2.022660732269287,0.025020122528076172,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,4.4244184494018555,0.20143295416957108,0.8042026099687403,0.30214443252028866,0.0009035929514313243,0.7068421052631579,0.24286453311064274
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,3,1.6563053131103516,0.009734153747558594,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,4.407937526702881,0.6718439878007313,0.8811518013510626,0.4909382107171425,0.16667781334211074,0.7270526315789474,0.225146865601864
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,0.9454622268676758,0.007917404174804688,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29,4.52012825012207,0.6459587872842222,0.8918140447197624,0.4792211415259229,0.12874381375305408,0.7631578947368421,0.18667841117060333
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,2.2870614528656006,0.05550956726074219,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86,4.422793865203857,0.6333766090677366,0.8808418800590667,0.4537628096559188,0.10408913557715471,0.798,0.15420332993196645
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,3,1.0534214973449707,0.025421619415283203,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34,4.449213981628418,0.8477580918477248,0.8573417420331264,0.448926957895626,0.08487476561913856,0.872,0.09779559254907187
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,3,1.828995704650879,0.03179931640625,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,4.328424453735352,0.8232005867185397,0.8329551829098172,0.3494242544659798,-0.141305148787503,0.8910526315789473,0.07707184206487076
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,3,7.1472392082214355,0.14278602600097656,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74,4.3738203048706055,0.848020776658904,0.8554093895834092,0.424682126527818,0.07413173260217555,0.8733684210526316,0.09068333162347061
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,3,3.6989822387695312,0.0554356575012207,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,4.38543701171875,0.9081648339972127,0.8652379200968758,0.4643822722429579,0.13645212360471914,0.8778947368421053,0.09224123566401282
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,3,2.9504430294036865,0.07530522346496582,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,4.241168975830078,0.8951484677472379,0.8485440880713491,0.43245926471782503,0.03089246225741183,0.9034736842105263,0.06765797031640722
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,3,14.509610652923584,0.22293615341186523,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61,4.283881187438965,0.8978747443272521,0.8542305253515603,0.43100241399052014,0.0733212369531457,0.890421052631579,0.08042957428651003
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,4,1.5489771366119385,0.0,4,4,0,1,ABNORMAL: ,112,4.473543643951416,0.31353686112395707,0.8663516374390166,0.4364515018182145,0.12676187951489382,0.7806315789473685,0.16879793835638127
